order_index,run_key,phase,repeat_index,workload_mode,num_requests,strategy,num_slots,launch_status,benchmark_id,label,final_status,completed,total_requests,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,throughput_rps,cache_hit_rate,avg_queue_wait,started_at_ms,finished_at_ms,elapsed_wall_seconds,launch_requested_strategy,launch_requested_slots,launch_effective_strategy,launch_effective_slots,launch_worker_phase,prelaunch_pending_queue,postrun_pending_queue,result_json
1,001_experiment_a_unique_sequential_1slots_r01,experiment_a,1,unique,100,sequential,1,RUNNING,fe56de58-8877-4a72-8c7e-12e6a6b4fe38,unique_sequential_1slots,COMPLETED,100,100,182555.11,153615.0,410148.0,430456.0,0.22943199520945995,0.0,178202.55,1775947547371,1775947983316,438.248,sequential,1,sequential,1,RUNNING,0,0,/Users/xxxwbwxxx/Documents/UoE/ACP/infraQ/experiment_results/report_matrix_20260411T224526Z/runs/001_experiment_a_unique_sequential_1slots_r01.json
2,002_experiment_a_unique_static_8slots_r01,experiment_a,1,unique,100,static,8,RUNNING,b977a717-1150-460b-8745-829da980a6b1,unique_static_8slots,COMPLETED,100,100,165694.26,134113.0,389053.0,418330.0,0.23667070584671313,0.0,146944.22,1775947988390,1775948411311,425.911,static,8,static,8,RUNNING,0,0,/Users/xxxwbwxxx/Documents/UoE/ACP/infraQ/experiment_results/report_matrix_20260411T224526Z/runs/002_experiment_a_unique_static_8slots_r01.json
3,003_experiment_a_unique_continuous_8slots_r01,experiment_a,1,unique,100,continuous,8,RUNNING,04e2d916-95b4-4f69-8a00-a392d26e26d4,unique_continuous_8slots,COMPLETED,100,100,178243.77,142324.0,433348.0,457537.0,0.21457800017595396,0.0,142797.01,1775948417078,1775948883682,467.798,continuous,8,continuous,8,RUNNING,0,0,/Users/xxxwbwxxx/Documents/UoE/ACP/infraQ/experiment_results/report_matrix_20260411T224526Z/runs/003_experiment_a_unique_continuous_8slots_r01.json
4,004_experiment_a_unique_cached_8slots_r01,experiment_a,1,unique,100,cached,8,RUNNING,a3f6b9e0-533d-4b42-aaf8-c8e1d3a18d0c,unique_cached_8slots,COMPLETED,100,100,187367.89,152684.0,439067.0,462953.0,0.21228357689335722,0.0,151382.95,1775948887921,1775949359499,473.62,cached,8,cached,8,RUNNING,0,0,/Users/xxxwbwxxx/Documents/UoE/ACP/infraQ/experiment_results/report_matrix_20260411T224526Z/runs/004_experiment_a_unique_cached_8slots_r01.json
5,005_experiment_a_unique_sequential_1slots_r02,experiment_a,2,unique,100,sequential,1,RUNNING,e5dde3fb-cd0e-4b57-a788-146ba21b8d22,unique_sequential_1slots,COMPLETED,100,100,193165.07,158953.0,459757.0,488927.0,0.20224491859642027,0.0,188226.79,1775949364889,1775949859527,497.462,sequential,1,sequential,1,RUNNING,0,0,/Users/xxxwbwxxx/Documents/UoE/ACP/infraQ/experiment_results/report_matrix_20260411T224526Z/runs/005_experiment_a_unique_sequential_1slots_r02.json
6,006_experiment_a_unique_static_8slots_r02,experiment_a,2,unique,100,static,8,RUNNING,641e0e1a-4b4f-4d08-b9be-5b1a83255a8e,unique_static_8slots,COMPLETED,100,100,189446.67,157817.0,458381.0,484049.0,0.20522250223692529,0.0,168175.46,1775949865409,1775950353279,489.425,static,8,static,8,RUNNING,0,0,/Users/xxxwbwxxx/Documents/UoE/ACP/infraQ/experiment_results/report_matrix_20260411T224526Z/runs/006_experiment_a_unique_static_8slots_r02.json
7,007_experiment_a_unique_continuous_8slots_r02,experiment_a,2,unique,100,continuous,8,RUNNING,7a64f50a-a85c-4f06-a627-ddea7d057e40,unique_continuous_8slots,COMPLETED,100,100,167453.52,140606.0,388393.0,407834.0,0.24227564669426993,0.0,135822.82,1775950357882,1775950771099,415.343,continuous,8,continuous,8,RUNNING,0,0,/Users/xxxwbwxxx/Documents/UoE/ACP/infraQ/experiment_results/report_matrix_20260411T224526Z/runs/007_experiment_a_unique_continuous_8slots_r02.json
8,008_experiment_a_unique_cached_8slots_r02,experiment_a,2,unique,100,cached,8,RUNNING,22e8ebca-ba0e-483f-b9c0-786721137fcb,unique_cached_8slots,COMPLETED,100,100,159846.22,126300.0,391742.0,407370.0,0.24343871795433578,0.0,127981.3,1775950776293,1775951187206,413.319,cached,8,cached,8,RUNNING,0,0,/Users/xxxwbwxxx/Documents/UoE/ACP/infraQ/experiment_results/report_matrix_20260411T224526Z/runs/008_experiment_a_unique_cached_8slots_r02.json
9,009_experiment_a_unique_sequential_1slots_r03,experiment_a,3,unique,100,sequential,1,RUNNING,715db100-4835-4acf-9870-4c0d02b18ad3,unique_sequential_1slots,COMPLETED,100,100,167730.38,135900.0,401554.0,422432.0,0.2353827323227568,0.0,163488.39,1775951192702,1775951617961,427.438,sequential,1,sequential,1,RUNNING,0,0,/Users/xxxwbwxxx/Documents/UoE/ACP/infraQ/experiment_results/report_matrix_20260411T224526Z/runs/009_experiment_a_unique_sequential_1slots_r03.json
10,010_experiment_a_unique_static_8slots_r03,experiment_a,3,unique,100,static,8,RUNNING,41f8417c-2d2d-47b0-97b2-351fb09c2d3a,unique_static_8slots,COMPLETED,100,100,175247.29,142884.0,418516.0,449023.0,0.21972130549610874,0.0,155328.88,1775951623213,1775952078677,457.649,static,8,static,8,RUNNING,0,0,/Users/xxxwbwxxx/Documents/UoE/ACP/infraQ/experiment_results/report_matrix_20260411T224526Z/runs/010_experiment_a_unique_static_8slots_r03.json
